No.,name,エリア,Latitude,Longitude,区分,googlemaplink,コメント,ジオパーク公式サイト
28,荻,山口,34.40918633,131.4000493,日本ジオパーク,"https://www.google.com/maps/search/%E8%8D%BB%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@34.4170721,131.4011764,13.75z",,https://geopark.jp/geopark/hagi/
29,Mine秋吉台,山口,34.25377366,131.3042862,日本ジオパーク,"https://www.google.com/maps/place/%E7%A7%8B%E5%90%89%E5%8F%B0%E5%9B%BD%E5%AE%9A%E5%85%AC%E5%9C%92/@34.2402259,131.2948129,14.56z/data=!4m14!1m7!3m6!1s0x35449e6bfb9eed63:0xe71fbba78b3a4446!2zTWluZeeni-WQieWPsOOCuOOCquODkeODvOOCr-OCu-ODs-OCv-ODvCBLYXJzdGFy77yI44Kr44Or44K544K_44O877yJ!8m2!3d34.2349234!4d131.3055719!16s%2Fg%2F11ddxglcjg!3m5!1s0x35449e4bdb4b470d:0x6527f390824e45b3!8m2!3d34.2540507!4d131.3043183!16s%2Fm%2F0261dgf",,https://geopark.jp/geopark/mine/
30,四国西予,高知,33.36592577,132.6425083,日本ジオパーク,"https://www.google.com/maps/search/%E5%9B%9B%E5%9B%BD%E8%A5%BF%E4%BA%88/@33.3527499,132.5855032,11.94z",,https://geopark.jp/geopark/shikoku-seiyo/
31,土佐清水,高知,32.82337727,132.8964948,日本ジオパーク,"https://www.google.com/maps/place/%E5%9C%9F%E4%BD%90%E6%B8%85%E6%B0%B4%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF%E6%8E%A8%E9%80%B2%E5%8D%94%E8%AD%B0%E4%BC%9A/@32.7951843,132.878311,13.75z/data=!4m6!3m5!1s0x354f4b0bf14030d3:0xb80ef677ffc7497f!8m2!3d32.7911468!4d132.8630618!16s%2Fg%2F11jwy194yd",,https://geopark.jp/geopark/tosashimizu/
32,おおいた姫島,大分,33.72752472,131.663489,日本ジオパーク,"https://www.google.com/maps/search/%E3%81%8A%E3%81%8A%E3%81%84%E3%81%9F%E5%A7%AB%E5%B3%B6%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@33.7240757,131.659273,15.31z",,https://geopark.jp/geopark/oita-himeshima/
33,おおいた豊後大野,大分,32.9676903,131.5103018,日本ジオパーク,"https://www.google.com/maps/search/%E3%81%8A%E3%81%8A%E3%81%84%E3%81%9F%E8%B1%8A%E5%BE%8C%E5%A4%A7%E9%87%8E%E3%80%80%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@32.9771951,131.4457572,12z/data=!3m1!4b1",,https://geopark.jp/geopark/oita-bungo-ohno/
34,霧島,宮崎、鹿児島,31.92105807,130.8823731,日本ジオパーク,"https://www.google.com/maps/place/%E9%9C%A7%E5%B3%B6%E9%8C%A6%E6%B1%9F%E6%B9%BE%E5%9B%BD%E7%AB%8B%E5%85%AC%E5%9C%92/@31.8616351,130.7631671,12.63z/data=!3m1!5s0x353e66d5e11ec43f:0xd2b02f92558266b1!4m15!1m8!3m7!1s0x353efc573022d19f:0x8a421d0b458911f!2z6bm_5YWQ5bO255yM6Zyn5bO25biC!3b1!8m2!3d31.7407317!4d130.7633282!16zL20vMDJjMTBf!3m5!1s0x353f1a05e12a3d89:0x31366dc96c36774a!8m2!3d31.8815973!4d130.8716412!16zL20vMGNjcjB3",,https://geopark.jp/geopark/kirishima/
35,桜島・錦江湾,鹿児島,31.58291231,130.6491299,日本ジオパーク,"https://www.google.com/maps/place/%E6%A1%9C%E5%B3%B6/@31.4776388,130.6434154,12.02z/data=!4m6!3m5!1s0x353ef572006aed97:0x9765ad14cf618e94!8m2!3d31.583333!4d130.65!16zL20vMDN0NzR0",,https://geopark.jp/geopark/sakurajima/
36,三島村・鬼界カルデラ,鹿児島,30.78958003,130.3080086,日本ジオパーク,"https://www.google.com/maps/search/%E4%B8%89%E5%B3%B6%E6%9D%91%E3%83%BB%E9%AC%BC%E7%95%8C%E3%82%AB%E3%83%AB%E3%83%87%E3%83%A9%E3%80%80%E3%82%B8%E3%82%AA%E3%83%91%E3%83%BC%E3%82%AF/@31.1871754,130.0113654,10z/data=!3m1!4b1",,https://geopark.jp/geopark/mishima/
37,五島列島(下五島エリア),長崎,32.74129506,128.8092774,日本ジオパーク,"https://www.google.com/maps/search/%E4%BA%94%E5%B3%B6%E5%88%97%E5%B3%B6(%E4%B8%8B%E4%BA%94%E5%B3%B6%E3%82%A8%E3%83%AA%E3%82%A2)/@32.5445241,128.7052831,10.17z",,https://geopark.jp/geopark/goto_islands/
